x,y
34.0,6.691511288244271E-5
34.1,8.162820438312125E-5
34.2,9.932773569638683E-5
34.3,1.2056329011299774E-4
34.4,1.459734628957316E-4
34.5,1.7629784118372495E-4
34.6,2.123901352753792E-4
34.7,2.552324871720972E-4
34.8,3.059509650568926E-4
34.9,3.6583223141516336E-4
35.0,4.363413475228911E-4
35.1,5.191406478307197E-4
35.2,6.161095842365276E-4
35.3,7.293654023333953E-4
35.4,8.612844695268677E-4
35.5,0.0010145240286499185
35.6,0.001192044100732465
35.7,0.0013971292074397763
35.8,0.0016334095281000252
35.9,0.0019048810491109802
36.0,0.002215924205969099
36.1,0.0025713204615270845
36.2,0.00297626620988806
36.3,0.0034363833453071486
36.4,0.00395772579149017
36.5,0.004546781250795747
36.6,0.005210467407211556
36.7,0.0059561218038028906
36.8,0.006791484616843156
36.9,0.007724673567197995
37.0,0.00876415024678474
37.1,0.009918677195898196
37.2,0.01119726514742206
37.3,0.01260910995759789
37.4,0.014163518870801379
37.5,0.01586982591783459
37.6,0.01773729642311672
37.7,0.019775020794686224
37.8,0.021991797990214845
37.9,0.02439600928959277
38.0,0.02699548325659556
38.1,0.029797353034409724
38.2,0.03280790738734016
38.3,0.03603243716811104
38.4,0.0394750791504493
38.5,0.043138659413258174
38.6,0.047024538688446076
38.7,0.051132462281991815
38.8,0.0554604173397308
38.9,0.060004500348496026
39.0,0.06475879783294931
39.1,0.06971528322268378
39.2,0.07486373281787628
39.3,0.08019166367096386
39.4,0.08568429602390797
39.5,0.09132454269451541
39.6,0.09709302749161111
39.7,0.10296813435999218
39.8,0.1089260885162802
39.9,0.11494107034212156
40.0,0.12098536225957683
40.1,0.12702952823459976
40.2,0.13304262494938268
40.3,0.1389924430655035
40.4,0.14484577638074664
40.5,0.1505687160774074
40.6,0.15612696668338574
40.7,0.16148617983396213
40.8,0.16661230144590464
40.9,0.17147192750969656
41.0,0.17603266338215412
41.1,0.18026348123082808
41.2,0.1841350701516654
41.3,0.18762017345847234
41.4,0.19069390773026507
41.5,0.19333405840142717
41.6,0.19552134698773005
41.7,0.19723966545394606
41.8,0.19847627373850696
41.9,0.19922195704738258
42.0,0.19947114020071632
42.1,0.19922195704738144
42.2,0.1984762737385047
42.3,0.1972396654539427
42.4,0.19552134698772558
42.5,0.19333405840142168
42.6,0.19069390773025854
42.7,0.18762017345846488
42.8,0.18413507015165706
42.9,0.18026348123081884
43.0,0.1760326633821441
43.1,0.17147192750968585
43.2,0.16661230144589328
43.3,0.1614861798339502
43.4,0.15612696668337334
43.5,0.15056871607739458
43.6,0.14484577638073348
43.7,0.13899244306549008
43.8,0.13304262494936905
43.9,0.127029528234586
44.0,0.12098536225956308
44.1,0.11494107034210783
44.2,0.10892608851626656
44.3,0.10296813435997869
44.4,0.09709302749159787
44.5,0.09132454269450244
44.6,0.0856842960238953
44.7,0.08019166367095158
44.8,0.07486373281786438
44.9,0.0697152832226723
45.0,0.06475879783293827
45.1,0.06000450034848547
45.2,0.05546041733972072
45.3,0.05113246228198223
45.4,0.04702453868843699
45.5,0.04313865941324959
45.6,0.03947507915044122
45.7,0.036032437168103455
45.8,0.03280790738733307
45.9,0.02979735303440312
46.0,0.02699548325658942
46.1,0.02439600928958708
46.2,0.021991797990209592
46.3,0.019775020794681387
46.4,0.017737296423112277
46.5,0.015869825917830527
46.6,0.014163518870797667
46.7,0.012609109957594518
46.8,0.011197265147418999
46.9,0.00991867719589544
47.0,0.00876415024678225
47.1,0.007724673567195752
47.2,0.006791484616841153
47.3,0.005956121803801098
47.4,0.00521046740720996
47.5,0.004546781250794325
47.6,0.003957725791488911
47.7,0.0034363833453060315
47.8,0.002976266209887082
47.9,0.0025713204615262215
48.0,0.0022159242059683433
48.1,0.0019048810491103204
48.2,0.0016334095280994508
48.3,0.001397129207439275
48.4,0.001192044100732031
48.5,0.0010145240286495436
48.6,8.61284469526545E-4
48.7,7.293654023331179E-4
48.8,6.161095842362891E-4
48.9,5.191406478305159E-4
49.0,4.3634134752271745E-4
49.1,3.6583223141501586E-4
49.2,3.0595096505676707E-4
49.3,2.5523248717199153E-4
49.4,2.1239013527528977E-4
49.5,1.762978411836498E-4
49.6,1.459734628956686E-4
49.7,1.2056329011294483E-4
49.8,9.93277356963429E-5
49.9,8.162820438308457E-5
